,precision,recall,f1-score,support
0,0.9743589743589743,0.8837209302325582,0.926829268292683,43.0
1,0.9333333333333333,0.9859154929577465,0.958904109589041,71.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9538461538461538,0.9348182115951523,0.942866688940862,114.0
weighted avg,0.9488079172289698,0.9473684210526315,0.9468057045386604,114.0
